
Type	Value	pF	Accuracy	Voltage Rating
Film Capacitor	1 nF	1000	20% (M)	16V
Film Capacitor	1 nF	1000	20% (M)	25V
Film Capacitor	1 nF	1000	20% (M)	50V
Film Capacitor	1 nF	1000	20% (M)	63V
Film Capacitor	1 nF	1000	20% (M)	90V
Film Capacitor	1 nF	1000	20% (M)	100V
Film Capacitor	1 nF	1000	20% (M)	110V
Film Capacitor	1 nF	1000	20% (M)	125V
Film Capacitor	1 nF	1000	20% (M)	250V
Film Capacitor	1 nF	1000	20% (M)	275V
Film Capacitor	1 nF	1000	20% (M)	375V
Film Capacitor	1 nF	1000	20% (M)	400V
Film Capacitor	1 nF	1000	20% (M)	450V
Film Capacitor	1 nF	1000	20% (M)	630V
Film Capacitor	1.2 nF	1200	20% (M)	16V
Film Capacitor	1.2 nF	1200	20% (M)	25V
Film Capacitor	1.2 nF	1200	20% (M)	50V
Film Capacitor	1.2 nF	1200	20% (M)	63V
Film Capacitor	1.2 nF	1200	20% (M)	90V
Film Capacitor	1.2 nF	1200	20% (M)	100V
Film Capacitor	1.2 nF	1200	20% (M)	110V
Film Capacitor	1.2 nF	1200	20% (M)	125V
Film Capacitor	1.2 nF	1200	20% (M)	250V
Film Capacitor	1.2 nF	1200	20% (M)	275V
Film Capacitor	1.2 nF	1200	20% (M)	375V
Film Capacitor	1.2 nF	1200	20% (M)	400V
Film Capacitor	1.2 nF	1200	20% (M)	450V
Film Capacitor	1.2 nF	1200	20% (M)	630V
Film Capacitor	1.5 nF	1500	20% (M)	16V
Film Capacitor	1.5 nF	1500	20% (M)	25V
Film Capacitor	1.5 nF	1500	20% (M)	50V
Film Capacitor	1.5 nF	1500	20% (M)	63V
Film Capacitor	1.5 nF	1500	20% (M)	90V
Film Capacitor	1.5 nF	1500	20% (M)	100V
Film Capacitor	1.5 nF	1500	20% (M)	110V
Film Capacitor	1.5 nF	1500	20% (M)	125V
Film Capacitor	1.5 nF	1500	20% (M)	250V
Film Capacitor	1.5 nF	1500	20% (M)	275V
Film Capacitor	1.5 nF	1500	20% (M)	375V
Film Capacitor	1.5 nF	1500	20% (M)	400V
Film Capacitor	1.5 nF	1500	20% (M)	450V
Film Capacitor	1.5 nF	1500	20% (M)	630V
Film Capacitor	1.8 nF	1800	20% (M)	16V
Film Capacitor	1.8 nF	1800	20% (M)	25V
Film Capacitor	1.8 nF	1800	20% (M)	50V
Film Capacitor	1.8 nF	1800	20% (M)	63V
Film Capacitor	1.8 nF	1800	20% (M)	90V
Film Capacitor	1.8 nF	1800	20% (M)	100V
Film Capacitor	1.8 nF	1800	20% (M)	110V
Film Capacitor	1.8 nF	1800	20% (M)	125V
Film Capacitor	1.8 nF	1800	20% (M)	250V
Film Capacitor	1.8 nF	1800	20% (M)	275V
Film Capacitor	1.8 nF	1800	20% (M)	375V
Film Capacitor	1.8 nF	1800	20% (M)	400V
Film Capacitor	1.8 nF	1800	20% (M)	450V
Film Capacitor	1.8 nF	1800	20% (M)	630V
Film Capacitor	2.2 nF	2200	20% (M)	16V
Film Capacitor	2.2 nF	2200	20% (M)	25V
Film Capacitor	2.2 nF	2200	20% (M)	50V
Film Capacitor	2.2 nF	2200	20% (M)	63V
Film Capacitor	2.2 nF	2200	20% (M)	90V
Film Capacitor	2.2 nF	2200	20% (M)	100V
Film Capacitor	2.2 nF	2200	20% (M)	110V
Film Capacitor	2.2 nF	2200	20% (M)	125V
Film Capacitor	2.2 nF	2200	20% (M)	250V
Film Capacitor	2.2 nF	2200	20% (M)	275V
Film Capacitor	2.2 nF	2200	20% (M)	375V
Film Capacitor	2.2 nF	2200	20% (M)	400V
Film Capacitor	2.2 nF	2200	20% (M)	450V
Film Capacitor	2.2 nF	2200	20% (M)	630V
Film Capacitor	2.7 nF	2700	20% (M)	16V
Film Capacitor	2.7 nF	2700	20% (M)	25V
Film Capacitor	2.7 nF	2700	20% (M)	50V
Film Capacitor	2.7 nF	2700	20% (M)	63V
Film Capacitor	2.7 nF	2700	20% (M)	90V
Film Capacitor	2.7 nF	2700	20% (M)	100V
Film Capacitor	2.7 nF	2700	20% (M)	110V
Film Capacitor	2.7 nF	2700	20% (M)	125V
Film Capacitor	2.7 nF	2700	20% (M)	250V
Film Capacitor	2.7 nF	2700	20% (M)	275V
Film Capacitor	2.7 nF	2700	20% (M)	375V
Film Capacitor	2.7 nF	2700	20% (M)	400V
Film Capacitor	2.7 nF	2700	20% (M)	450V
Film Capacitor	2.7 nF	2700	20% (M)	630V
Film Capacitor	3.3 nF	3300	20% (M)	16V
Film Capacitor	3.3 nF	3300	20% (M)	25V
Film Capacitor	3.3 nF	3300	20% (M)	50V
Film Capacitor	3.3 nF	3300	20% (M)	63V
Film Capacitor	3.3 nF	3300	20% (M)	90V
Film Capacitor	3.3 nF	3300	20% (M)	100V
Film Capacitor	3.3 nF	3300	20% (M)	110V
Film Capacitor	3.3 nF	3300	20% (M)	125V
Film Capacitor	3.3 nF	3300	20% (M)	250V
Film Capacitor	3.3 nF	3300	20% (M)	275V
Film Capacitor	3.3 nF	3300	20% (M)	375V
Film Capacitor	3.3 nF	3300	20% (M)	400V
Film Capacitor	3.3 nF	3300	20% (M)	450V
Film Capacitor	3.3 nF	3300	20% (M)	630V
Film Capacitor	3.9 nF	3900	20% (M)	16V
Film Capacitor	3.9 nF	3900	20% (M)	25V
Film Capacitor	3.9 nF	3900	20% (M)	50V
Film Capacitor	3.9 nF	3900	20% (M)	63V
Film Capacitor	3.9 nF	3900	20% (M)	90V
Film Capacitor	3.9 nF	3900	20% (M)	100V
Film Capacitor	3.9 nF	3900	20% (M)	110V
Film Capacitor	3.9 nF	3900	20% (M)	125V
Film Capacitor	3.9 nF	3900	20% (M)	250V
Film Capacitor	3.9 nF	3900	20% (M)	275V
Film Capacitor	3.9 nF	3900	20% (M)	375V
Film Capacitor	3.9 nF	3900	20% (M)	400V
Film Capacitor	3.9 nF	3900	20% (M)	450V
Film Capacitor	3.9 nF	3900	20% (M)	630V
Film Capacitor	4.7 nF	4700	20% (M)	16V
Film Capacitor	4.7 nF	4700	20% (M)	25V
Film Capacitor	4.7 nF	4700	20% (M)	50V
Film Capacitor	4.7 nF	4700	20% (M)	63V
Film Capacitor	4.7 nF	4700	20% (M)	90V
Film Capacitor	4.7 nF	4700	20% (M)	100V
Film Capacitor	4.7 nF	4700	20% (M)	110V
Film Capacitor	4.7 nF	4700	20% (M)	125V
Film Capacitor	4.7 nF	4700	20% (M)	250V
Film Capacitor	4.7 nF	4700	20% (M)	275V
Film Capacitor	4.7 nF	4700	20% (M)	375V
Film Capacitor	4.7 nF	4700	20% (M)	400V
Film Capacitor	4.7 nF	4700	20% (M)	450V
Film Capacitor	4.7 nF	4700	20% (M)	630V
Film Capacitor	5.6 nF	5600	20% (M)	16V
Film Capacitor	5.6 nF	5600	20% (M)	25V
Film Capacitor	5.6 nF	5600	20% (M)	50V
Film Capacitor	5.6 nF	5600	20% (M)	63V
Film Capacitor	5.6 nF	5600	20% (M)	90V
Film Capacitor	5.6 nF	5600	20% (M)	100V
Film Capacitor	5.6 nF	5600	20% (M)	110V
Film Capacitor	5.6 nF	5600	20% (M)	125V
Film Capacitor	5.6 nF	5600	20% (M)	250V
Film Capacitor	5.6 nF	5600	20% (M)	275V
Film Capacitor	5.6 nF	5600	20% (M)	375V
Film Capacitor	5.6 nF	5600	20% (M)	400V
Film Capacitor	5.6 nF	5600	20% (M)	450V
Film Capacitor	5.6 nF	5600	20% (M)	630V
Film Capacitor	6.8 nF	6800	20% (M)	16V
Film Capacitor	6.8 nF	6800	20% (M)	25V
Film Capacitor	6.8 nF	6800	20% (M)	50V
Film Capacitor	6.8 nF	6800	20% (M)	63V
Film Capacitor	6.8 nF	6800	20% (M)	90V
Film Capacitor	6.8 nF	6800	20% (M)	100V
Film Capacitor	6.8 nF	6800	20% (M)	110V
Film Capacitor	6.8 nF	6800	20% (M)	125V
Film Capacitor	6.8 nF	6800	20% (M)	250V
Film Capacitor	6.8 nF	6800	20% (M)	275V
Film Capacitor	6.8 nF	6800	20% (M)	375V
Film Capacitor	6.8 nF	6800	20% (M)	400V
Film Capacitor	6.8 nF	6800	20% (M)	450V
Film Capacitor	6.8 nF	6800	20% (M)	630V
Film Capacitor	8.2 nF	8200	20% (M)	16V
Film Capacitor	8.2 nF	8200	20% (M)	25V
Film Capacitor	8.2 nF	8200	20% (M)	50V
Film Capacitor	8.2 nF	8200	20% (M)	63V
Film Capacitor	8.2 nF	8200	20% (M)	90V
Film Capacitor	8.2 nF	8200	20% (M)	100V
Film Capacitor	8.2 nF	8200	20% (M)	110V
Film Capacitor	8.2 nF	8200	20% (M)	125V
Film Capacitor	8.2 nF	8200	20% (M)	250V
Film Capacitor	8.2 nF	8200	20% (M)	275V
Film Capacitor	8.2 nF	8200	20% (M)	375V
Film Capacitor	8.2 nF	8200	20% (M)	400V
Film Capacitor	8.2 nF	8200	20% (M)	450V
Film Capacitor	8.2 nF	8200	20% (M)	630V
Film Capacitor	10 nF	10000	20% (M)	16V
Film Capacitor	10 nF	10000	20% (M)	25V
Film Capacitor	10 nF	10000	20% (M)	50V
Film Capacitor	10 nF	10000	20% (M)	63V
Film Capacitor	10 nF	10000	20% (M)	90V
Film Capacitor	10 nF	10000	20% (M)	100V
Film Capacitor	10 nF	10000	20% (M)	110V
Film Capacitor	10 nF	10000	20% (M)	125V
Film Capacitor	10 nF	10000	20% (M)	250V
Film Capacitor	10 nF	10000	20% (M)	275V
Film Capacitor	10 nF	10000	20% (M)	375V
Film Capacitor	10 nF	10000	20% (M)	400V
Film Capacitor	10 nF	10000	20% (M)	450V
Film Capacitor	10 nF	10000	20% (M)	630V
Film Capacitor	12 nF	12000	20% (M)	16V
Film Capacitor	12 nF	12000	20% (M)	25V
Film Capacitor	12 nF	12000	20% (M)	50V
Film Capacitor	12 nF	12000	20% (M)	63V
Film Capacitor	12 nF	12000	20% (M)	90V
Film Capacitor	12 nF	12000	20% (M)	100V
Film Capacitor	12 nF	12000	20% (M)	110V
Film Capacitor	12 nF	12000	20% (M)	125V
Film Capacitor	12 nF	12000	20% (M)	250V
Film Capacitor	12 nF	12000	20% (M)	275V
Film Capacitor	12 nF	12000	20% (M)	375V
Film Capacitor	12 nF	12000	20% (M)	400V
Film Capacitor	12 nF	12000	20% (M)	450V
Film Capacitor	12 nF	12000	20% (M)	630V
Film Capacitor	15 nF	15000	20% (M)	16V
Film Capacitor	15 nF	15000	20% (M)	25V
Film Capacitor	15 nF	15000	20% (M)	50V
Film Capacitor	15 nF	15000	20% (M)	63V
Film Capacitor	15 nF	15000	20% (M)	90V
Film Capacitor	15 nF	15000	20% (M)	100V
Film Capacitor	15 nF	15000	20% (M)	110V
Film Capacitor	15 nF	15000	20% (M)	125V
Film Capacitor	15 nF	15000	20% (M)	250V
Film Capacitor	15 nF	15000	20% (M)	275V
Film Capacitor	15 nF	15000	20% (M)	375V
Film Capacitor	15 nF	15000	20% (M)	400V
Film Capacitor	15 nF	15000	20% (M)	450V
Film Capacitor	15 nF	15000	20% (M)	630V
Film Capacitor	18 nF	18000	20% (M)	16V
Film Capacitor	18 nF	18000	20% (M)	25V
Film Capacitor	18 nF	18000	20% (M)	50V
Film Capacitor	18 nF	18000	20% (M)	63V
Film Capacitor	18 nF	18000	20% (M)	90V
Film Capacitor	18 nF	18000	20% (M)	100V
Film Capacitor	18 nF	18000	20% (M)	110V
Film Capacitor	18 nF	18000	20% (M)	125V
Film Capacitor	18 nF	18000	20% (M)	250V
Film Capacitor	18 nF	18000	20% (M)	275V
Film Capacitor	18 nF	18000	20% (M)	375V
Film Capacitor	18 nF	18000	20% (M)	400V
Film Capacitor	18 nF	18000	20% (M)	450V
Film Capacitor	18 nF	18000	20% (M)	630V
Film Capacitor	22 nF	22000	20% (M)	16V
Film Capacitor	22 nF	22000	20% (M)	25V
Film Capacitor	22 nF	22000	20% (M)	50V
Film Capacitor	22 nF	22000	20% (M)	63V
Film Capacitor	22 nF	22000	20% (M)	90V
Film Capacitor	22 nF	22000	20% (M)	100V
