
Type	Value	pF	Accuracy	Voltage Rating
Film Capacitor	1 nF	1000	10% (K)	16V
Film Capacitor	1 nF	1000	10% (K)	25V
Film Capacitor	1 nF	1000	10% (K)	50V
Film Capacitor	1 nF	1000	10% (K)	63V
Film Capacitor	1 nF	1000	10% (K)	90V
Film Capacitor	1 nF	1000	10% (K)	100V
Film Capacitor	1 nF	1000	10% (K)	110V
Film Capacitor	1 nF	1000	10% (K)	125V
Film Capacitor	1 nF	1000	10% (K)	250V
Film Capacitor	1 nF	1000	10% (K)	275V
Film Capacitor	1 nF	1000	10% (K)	375V
Film Capacitor	1 nF	1000	10% (K)	400V
Film Capacitor	1 nF	1000	10% (K)	450V
Film Capacitor	1 nF	1000	10% (K)	630V
Film Capacitor	1.2 nF	1200	10% (K)	16V
Film Capacitor	1.2 nF	1200	10% (K)	25V
Film Capacitor	1.2 nF	1200	10% (K)	50V
Film Capacitor	1.2 nF	1200	10% (K)	63V
Film Capacitor	1.2 nF	1200	10% (K)	90V
Film Capacitor	1.2 nF	1200	10% (K)	100V
Film Capacitor	1.2 nF	1200	10% (K)	110V
Film Capacitor	1.2 nF	1200	10% (K)	125V
Film Capacitor	1.2 nF	1200	10% (K)	250V
Film Capacitor	1.2 nF	1200	10% (K)	275V
Film Capacitor	1.2 nF	1200	10% (K)	375V
Film Capacitor	1.2 nF	1200	10% (K)	400V
Film Capacitor	1.2 nF	1200	10% (K)	450V
Film Capacitor	1.2 nF	1200	10% (K)	630V
Film Capacitor	1.5 nF	1500	10% (K)	16V
Film Capacitor	1.5 nF	1500	10% (K)	25V
Film Capacitor	1.5 nF	1500	10% (K)	50V
Film Capacitor	1.5 nF	1500	10% (K)	63V
Film Capacitor	1.5 nF	1500	10% (K)	90V
Film Capacitor	1.5 nF	1500	10% (K)	100V
Film Capacitor	1.5 nF	1500	10% (K)	110V
Film Capacitor	1.5 nF	1500	10% (K)	125V
Film Capacitor	1.5 nF	1500	10% (K)	250V
Film Capacitor	1.5 nF	1500	10% (K)	275V
Film Capacitor	1.5 nF	1500	10% (K)	375V
Film Capacitor	1.5 nF	1500	10% (K)	400V
Film Capacitor	1.5 nF	1500	10% (K)	450V
Film Capacitor	1.5 nF	1500	10% (K)	630V
Film Capacitor	1.8 nF	1800	10% (K)	16V
Film Capacitor	1.8 nF	1800	10% (K)	25V
Film Capacitor	1.8 nF	1800	10% (K)	50V
Film Capacitor	1.8 nF	1800	10% (K)	63V
Film Capacitor	1.8 nF	1800	10% (K)	90V
Film Capacitor	1.8 nF	1800	10% (K)	100V
Film Capacitor	1.8 nF	1800	10% (K)	110V
Film Capacitor	1.8 nF	1800	10% (K)	125V
Film Capacitor	1.8 nF	1800	10% (K)	250V
Film Capacitor	1.8 nF	1800	10% (K)	275V
Film Capacitor	1.8 nF	1800	10% (K)	375V
Film Capacitor	1.8 nF	1800	10% (K)	400V
Film Capacitor	1.8 nF	1800	10% (K)	450V
Film Capacitor	1.8 nF	1800	10% (K)	630V
Film Capacitor	2.2 nF	2200	10% (K)	16V
Film Capacitor	2.2 nF	2200	10% (K)	25V
Film Capacitor	2.2 nF	2200	10% (K)	50V
Film Capacitor	2.2 nF	2200	10% (K)	63V
Film Capacitor	2.2 nF	2200	10% (K)	90V
Film Capacitor	2.2 nF	2200	10% (K)	100V
Film Capacitor	2.2 nF	2200	10% (K)	110V
Film Capacitor	2.2 nF	2200	10% (K)	125V
Film Capacitor	2.2 nF	2200	10% (K)	250V
Film Capacitor	2.2 nF	2200	10% (K)	275V
Film Capacitor	2.2 nF	2200	10% (K)	375V
Film Capacitor	2.2 nF	2200	10% (K)	400V
Film Capacitor	2.2 nF	2200	10% (K)	450V
Film Capacitor	2.2 nF	2200	10% (K)	630V
Film Capacitor	2.7 nF	2700	10% (K)	16V
Film Capacitor	2.7 nF	2700	10% (K)	25V
Film Capacitor	2.7 nF	2700	10% (K)	50V
Film Capacitor	2.7 nF	2700	10% (K)	63V
Film Capacitor	2.7 nF	2700	10% (K)	90V
Film Capacitor	2.7 nF	2700	10% (K)	100V
Film Capacitor	2.7 nF	2700	10% (K)	110V
Film Capacitor	2.7 nF	2700	10% (K)	125V
Film Capacitor	2.7 nF	2700	10% (K)	250V
Film Capacitor	2.7 nF	2700	10% (K)	275V
Film Capacitor	2.7 nF	2700	10% (K)	375V
Film Capacitor	2.7 nF	2700	10% (K)	400V
Film Capacitor	2.7 nF	2700	10% (K)	450V
Film Capacitor	2.7 nF	2700	10% (K)	630V
Film Capacitor	3.3 nF	3300	10% (K)	16V
Film Capacitor	3.3 nF	3300	10% (K)	25V
Film Capacitor	3.3 nF	3300	10% (K)	50V
Film Capacitor	3.3 nF	3300	10% (K)	63V
Film Capacitor	3.3 nF	3300	10% (K)	90V
Film Capacitor	3.3 nF	3300	10% (K)	100V
Film Capacitor	3.3 nF	3300	10% (K)	110V
Film Capacitor	3.3 nF	3300	10% (K)	125V
Film Capacitor	3.3 nF	3300	10% (K)	250V
Film Capacitor	3.3 nF	3300	10% (K)	275V
Film Capacitor	3.3 nF	3300	10% (K)	375V
Film Capacitor	3.3 nF	3300	10% (K)	400V
Film Capacitor	3.3 nF	3300	10% (K)	450V
Film Capacitor	3.3 nF	3300	10% (K)	630V
Film Capacitor	3.9 nF	3900	10% (K)	16V
Film Capacitor	3.9 nF	3900	10% (K)	25V
Film Capacitor	3.9 nF	3900	10% (K)	50V
Film Capacitor	3.9 nF	3900	10% (K)	63V
Film Capacitor	3.9 nF	3900	10% (K)	90V
Film Capacitor	3.9 nF	3900	10% (K)	100V
Film Capacitor	3.9 nF	3900	10% (K)	110V
Film Capacitor	3.9 nF	3900	10% (K)	125V
Film Capacitor	3.9 nF	3900	10% (K)	250V
Film Capacitor	3.9 nF	3900	10% (K)	275V
Film Capacitor	3.9 nF	3900	10% (K)	375V
Film Capacitor	3.9 nF	3900	10% (K)	400V
Film Capacitor	3.9 nF	3900	10% (K)	450V
